FID,WSO1_ID,FOOTPRINT,FACADE
17232,338061.000000000000000,118627.610000000000000,184040.693038000000000
17233,349638.000000000000000,448801.409999999970000,696277.425414999950000
17234,335623.000000000000000,405166.409999999970000,628581.335898000050000
17235,371221.000000000000000,74030.666090700004000,170427.097593000010000
17236,338021.000000000000000,67094.500000000000000,104091.452034000000000
17237,336532.000000000000000,30402.740000000002000,47167.288614199999000
17238,360254.000000000000000,0.000000000000000,0.000000000000000
17239,374297.000000000000000,5046.646799549999700,14436.628713599999000
17240,325973.000000000000000,52598.760000000002000,81602.535684999995000
17241,361094.000000000000000,75453.971460300003000,97296.955010299993000
17242,368975.000000000000000,43422.683696499997000,130480.227474000000000
17243,376093.000000000000000,5315.701014690000200,13996.647072800000000
17244,376280.000000000000000,9937.741244670000000,27105.244410300002000
17245,374017.000000000000000,114.568728601999990,145.622666615000010
17246,366332.000000000000000,0.000000000000000,0.000000000000000
17247,350698.000000000000000,25107.984999600001000,58860.760153299998000
17248,334936.000000000000000,249259.700000000010000,386705.316618999990000
17249,367312.000000000000000,68761.030686300001000,116976.019654000000000
17250,349724.000000000000000,31606.189999700000000,58614.769328399998000
17251,365104.000000000000000,0.000000000000000,0.000000000000000
17252,355937.000000000000000,12202.070000000000000,18930.477830899999000
17253,352047.000000000000000,208912.450000000010000,324110.009051000000000
17254,374617.000000000000000,12033.489289900001000,31224.665518400001000
17255,361676.000000000000000,0.000000000000000,0.000000000000000
17256,342669.000000000000000,19036.680000000000000,29533.805778800001000
17257,359422.000000000000000,51860.675461300001000,120526.639324000000000
17258,361744.000000000000000,0.000000000000000,0.000000000000000
17259,362721.000000000000000,100047.576206000000000,236811.186820000000000
17260,370843.000000000000000,59679.537245799998000,173853.283679999990000
17261,373148.000000000000000,5440.222774290000400,12593.371953000000000
17262,348490.000000000000000,5043.680000000000300,7824.842208000000000
17263,343489.000000000000000,177318.130000000000000,275094.072244999990000
17264,346518.000000000000000,113110.654536000000000,139323.168314000010000
17265,376368.000000000000000,8485.989955319999400,18480.795591599999000
17266,363891.000000000000000,0.000000000000000,0.000000000000000
17267,369117.000000000000000,81711.444046100005000,154488.569993999990000
17268,334789.000000000000000,239410.579999999990000,371425.280793000010000
17269,371829.000000000000000,6530.885428730000100,15495.847040000001000
17270,343721.000000000000000,58986.724999700004000,74729.158286499995000
17271,327221.000000000000000,57329.949999999997000,88942.580200500001000
17272,324660.000000000000000,238356.250000000000000,369789.509396000010000
17273,368965.000000000000000,27967.646821200000000,69888.706062900004000
17274,367679.000000000000000,162954.482792000000000,344402.047153000020000
17275,372968.000000000000000,41735.098618600001000,128542.035363000000000
17276,332124.000000000000000,15461.760000000000000,23987.623147599999000
17277,341798.000000000000000,1767582.179999999900000,2742254.013869999900000
17278,362332.000000000000000,314426.681346000000000,636611.815216999970000
17279,365048.000000000000000,105623.800755000000000,189601.547003999990000
17280,379074.000000000000000,85340.459623200004000,199062.913328000000000
17281,334564.000000000000000,269248.130000000000000,417715.663425999980000
17282,346510.000000000000000,612605.050000000050000,950404.852854999950000
17283,349536.000000000000000,114149.810000000000000,177093.779122000010000
17284,376747.000000000000000,512.735867458000030,329.625183522999980
17285,351727.000000000000000,68856.509999999995000,106825.053935000000000
17286,360192.000000000000000,0.000000000000000,0.000000000000000
17287,374447.000000000000000,4408.446350190000000,8768.779640889999400
17288,363966.000000000000000,2154.124360289999900,4859.161806330000200
17289,340140.000000000000000,276571.049999999990000,429076.631822000020000
17290,333921.000000000000000,157282.870000000000000,244011.038166000010000
17291,354751.000000000000000,27681.489999699999000,36187.665132499998000
17292,336269.000000000000000,289674.150000000020000,449404.961094999980000
17293,361103.000000000000000,608710.416004000000000,1111143.678280000100000
17294,367627.000000000000000,0.000000000000000,0.000000000000000
17295,361932.000000000000000,120247.824863000000000,265334.553009999970000
17296,356426.000000000000000,1732.760000000000000,2688.230724820000000
17297,378185.000000000000000,24387.558667300000000,63411.757039800003000
17298,333515.000000000000000,245275.170000000010000,380523.669697000000000
17299,365762.000000000000000,406406.037017000020000,806667.475591000050000
17300,379385.000000000000000,114015.702120000000000,260371.706635000010000
17301,367446.000000000000000,0.000000000000000,0.000000000000000
17302,352333.000000000000000,16297.480000000000000,25284.162125300001000
17303,354641.000000000000000,69199.479999400006000,98404.950834799994000
17304,332814.000000000000000,102695.270000000000000,159323.028663000000000
17305,338767.000000000000000,2256002.617879999800000,3568260.147040000200000
17306,355662.000000000000000,197821.000000000000000,306902.581362000030000
17307,374678.000000000000000,48992.167940500003000,138545.523122999990000
17308,353420.000000000000000,19902.330000000002000,30876.776625700000000
17309,372608.000000000000000,165935.336463000010000,327387.418983999990000
17310,372413.000000000000000,12672.581612600001000,40250.274821400002000
17311,372099.000000000000000,10530.642734800000000,25777.955576000000000
17312,333898.000000000000000,104255.030000000000000,161742.864329000000000
17313,356744.000000000000000,52862.050000000003000,82010.989857799999000
17314,350655.000000000000000,40761.374999200001000,79988.229808499993000
17315,361958.000000000000000,0.000000000000000,0.000000000000000
17316,363786.000000000000000,38021.162460899999000,99550.069303800003000
17317,368968.000000000000000,10854.079205599999000,29026.988530300001000
17318,326284.000000000000000,293382.219999999970000,455157.660114000030000
17319,339473.000000000000000,111489.009999999990000,172965.747108000010000
17320,349557.000000000000000,76755.555000199995000,176775.538227999990000
17321,376334.000000000000000,1351.279348309999900,2357.732349869999800
17322,363342.000000000000000,203583.446770000010000,476222.398323000000000
17323,370833.000000000000000,592038.644940000030000,1166077.869890000000000
17324,347976.000000000000000,290478.700000000010000,450653.093892999980000
17325,364369.000000000000000,20927.328829599999000,55923.570833099999000
17326,361804.000000000000000,80632.654153700001000,180828.665169000010000
17327,367342.000000000000000,3693.620476690000000,9917.770309350000400
17328,367905.000000000000000,11920.479787599999000,26334.640783399998000
17329,325368.000000000000000,207663.940000000000000,322173.079930000010000
17330,341224.000000000000000,151549.989999999990000,235117.077361000000000
17331,333241.000000000000000,47209.739999999998000,73241.959258000003000
17332,360205.000000000000000,0.000000000000000,0.000000000000000
17333,336406.000000000000000,70844.080000000002000,109908.594387000000000
17334,365986.000000000000000,585676.241063000050000,804581.414802000040000
17335,356623.000000000000000,44881.820000000000000,69630.347104400003000
17336,362474.000000000000000,48392.805760399999000,99193.177001000004000
17337,376018.000000000000000,8939.637354360000200,24610.560770100001000
17338,347222.000000000000000,146810.790000000010000,227764.523978000010000
17339,337880.000000000000000,60631.570000000000000,94064.753942199997000
17340,327565.000000000000000,87024.529999999999000,135011.201823999990000
17341,370385.000000000000000,16740.172469900001000,35543.929961800000000
17342,374966.000000000000000,3859.841642259999800,6531.231057240000200
17343,374245.000000000000000,17204.670075499998000,51962.083977900002000
17344,327358.000000000000000,104777.110000000000000,162552.829541999990000
17345,348079.000000000000000,230086.510000000010000,356959.766076000000000
17346,362795.000000000000000,0.000000000000000,0.000000000000000
17347,372436.000000000000000,21933.946307200000000,67575.320854799997000
17348,377935.000000000000000,11665.504232600000000,25418.529804999998000
17349,374282.000000000000000,9737.893456629999500,36397.944467900001000
17350,372761.000000000000000,9358.217788770000000,35406.082990199997000
17351,363776.000000000000000,0.000000000000000,0.000000000000000
17352,349117.000000000000000,5409.670000000000100,8392.643183050000500
17353,373161.000000000000000,4189.650307079999900,8328.858723069999500
17354,373287.000000000000000,67792.074844600007000,99418.827619300006000
17355,351690.000000000000000,88612.970000000001000,137475.534503000000000
17356,369070.000000000000000,15803.203769800000000,39021.550384700000000
17357,331333.000000000000000,110654.910000000000000,171671.746401999990000
17358,364518.000000000000000,10047.823155200000000,28556.705834699998000
17359,333336.000000000000000,195838.649999999990000,303827.087028999990000
17360,352179.000000000000000,5386.975000190000200,10646.523104800001000
17361,326719.000000000000000,241323.109999999990000,374392.399496000030000
17362,342216.000000000000000,661888.010000000010000,1026863.184080000000000
17363,367572.000000000000000,74876.789519099999000,212669.748863999990000
17364,365249.000000000000000,0.000000000000000,0.000000000000000
17365,364790.000000000000000,128648.995816000000000,208581.773003999990000
17366,375016.000000000000000,138708.403137999990000,291372.008448000010000
17367,379957.000000000000000,3594.719305640000100,10519.964613400000000
17368,375959.000000000000000,37707.182642599997000,116249.985246000000000
17369,369370.000000000000000,8422.078115129999800,16992.033541000001000
17370,352123.000000000000000,293468.609999999990000,455291.686372999970000
17371,375251.000000000000000,85.163953288399995,0.000000000000000
17372,325367.000000000000000,317723.210000000020000,492920.795098999980000
17373,347641.000000000000000,45005.220000000001000,69821.804716400002000
17374,344432.000000000000000,317525.010000000010000,492613.154916000030000
17375,330048.000000000000000,87723.100000000006000,136094.953481000000000
17376,377574.000000000000000,4279.238250960000200,11774.522642500000000
17377,360881.000000000000000,0.000000000000000,0.000000000000000
17378,325554.000000000000000,105571.860000000000000,163785.813407999990000
17379,361940.000000000000000,0.000000000000000,0.000000000000000
17380,362853.000000000000000,128462.573265000000000,200310.627985000000000
17381,368079.000000000000000,5889.321118869999700,19442.067671199999000
17382,378494.000000000000000,21102.116864500000000,65334.035605600002000
17383,378546.000000000000000,63856.252702999998000,189515.866451000010000
17384,353006.000000000000000,132616.394999999990000,219925.592704999990000
17385,327408.000000000000000,93353.770000000004000,144830.476422000010000
17386,369405.000000000000000,10514.537730200000000,16755.370479500001000
17387,329801.000000000000000,353363.200000000010000,548213.105677000010000
17388,356979.000000000000000,130390.070000000010000,202289.145760999990000
17389,341186.000000000000000,115256.600000000010000,178810.889533999990000
17390,363288.000000000000000,189079.316538999990000,393720.458274999980000
17391,369100.000000000000000,27403.383490000000000,73645.803365300002000
17392,373361.000000000000000,5296.840003719999900,13219.958149000000000
17393,333793.000000000000000,161123.040000000010000,249968.802770999990000
17394,329634.000000000000000,116579.039999999990000,180862.515496999990000
17395,349882.000000000000000,60681.459999999999000,94142.149191100005000
17396,357850.000000000000000,218243.160000000000000,338585.761246000010000
17397,341407.000000000000000,109881.640000000000000,170472.062018000000000
17398,373645.000000000000000,715.849299394000010,673.201695750000000
17399,353570.000000000000000,21680.810000000001000,33635.941037299999000
17400,378562.000000000000000,31978.709080199998000,97883.015430800006000
17401,325628.000000000000000,448615.109999999990000,695988.380813000030000
17402,362413.000000000000000,55871.609000299999000,97927.987793399996000
17403,360001.000000000000000,52015.715001199998000,90120.280294199998000
17404,368105.000000000000000,284290.815232000020000,487984.087604000000000
17405,332527.000000000000000,13556.209999999999000,21031.324086500001000
17406,349837.000000000000000,13642.360000200000000,25035.762129700001000
17407,368423.000000000000000,1647.714649289999900,3384.193515580000200
17408,362808.000000000000000,11100.058834400001000,21834.138290300001000
17409,376153.000000000000000,21493.264861200001000,55065.539652799998000
17410,372661.000000000000000,157453.577026000010000,301718.455000000020000
17411,334237.000000000000000,324599.719999999970000,503588.978477000030000
17412,354870.000000000000000,48513.609999699998000,86177.454406999997000
17413,362910.000000000000000,276053.219802999990000,536281.832826000060000
17414,366516.000000000000000,3847.950112439999900,10008.389194400001000
17415,355710.000000000000000,157059.489999999990000,243664.485236999990000
17416,374355.000000000000000,32504.627280000001000,82887.603879300004000
17417,377905.000000000000000,7727.177072810000000,21269.885871499999000
17418,362481.000000000000000,251247.077689000000000,391145.742833000030000
17419,360165.000000000000000,0.000000000000000,0.000000000000000
17420,338225.000000000000000,196484.370000000000000,304828.846191000020000
17421,341077.000000000000000,58340.820000000000000,90510.835344499996000
17422,341900.000000000000000,60183.089999999997000,93368.958102799996000
17423,363674.000000000000000,0.000000000000000,0.000000000000000
17424,360104.000000000000000,389427.481682999990000,843236.463791999970000
17425,361004.000000000000000,0.000000000000000,0.000000000000000
17426,324707.000000000000000,181523.980000000010000,281619.159212999980000
17427,335385.000000000000000,72523.077260399994000,112513.419303000000000
17428,368620.000000000000000,48681.130757100000000,118632.929884000000000
17429,374835.000000000000000,45071.278204800001000,102734.563683000000000
17430,377347.000000000000000,27004.269266600000000,103610.760530000000000
17431,337837.000000000000000,137618.679999999990000,213503.726937000000000
17432,353343.000000000000000,183331.984998000000000,370211.838379000020000
17433,365423.000000000000000,175715.977921000010000,232127.149945999990000
17434,341554.000000000000000,143511.310000000000000,222645.688874999990000
17435,341885.000000000000000,445116.340000000030000,690560.354688000050000
17436,340423.000000000000000,184481.420000999990000,221272.654880999990000
17437,368553.000000000000000,70628.370127600007000,192744.678787999990000
17438,345315.000000000000000,65347.980000000003000,101381.876737000000000
17439,379931.000000000000000,0.000000000000000,0.000000000000000
